brick/math                         0.12.3   Arbitrary-precision arithmetic library
symfony/polyfill-mbstring          1.31.0   Symfony polyfill for the Mbstring extension
symfony/polyfill-php80             1.31.0   Symfony polyfill backporting some PHP 8.0+ features to lowe...
symfony/polyfill-php83             1.31.0   Symfony polyfill backporting some PHP 8.3+ features to lowe...
symfony/polyfill-uuid              1.31.0   Symfony polyfill for uuid functions
symfony/process                    6.4.20   Executes commands in sub-processes
symfony/routing                    6.4.18   Maps an HTTP request to a set of configuration variables
symfony/service-contracts          3.5.1    Generic abstractions related to writing services
symfony/string                     7.2.0    Provides an object-oriented API to strings and deals with b...
symfony/translation                6.4.19   Provides tools to internationalize your application
symfony/translation-contracts      3.5.1    Generic abstractions related to translation
symfony/uid                        6.4.13   Provides an object-oriented API to generate and represent UIDs
symfony/var-dumper                 6.4.18   Provides mechanisms for walking through any arbitrary PHP v...
tijsverkoyen/css-to-inline-styles  2.3.0    CssToInlineStyles is a class that enables you to convert HT...
vlucas/phpdotenv                   5.6.1    Loads environment variables from `.env` to `getenv()`, `$_E...
voku/portable-ascii                2.0.3    Portable ASCII library - performance optimized (ascii) stri...
webmozart/assert                   1.11.0   Assertions to validate method input/output with nice error ...
